x,t=9.00e+03s,t=2.16e+04s,t=8.28e+04s,t=1.09e+05s,t=1.72e+05s,t=2.44e+05s,t=3.60e+05s
2.575757575757575781e-08,2.050821573685694192e+26,2.055834911574592994e+26,2.060110062646624903e+26,2.060665624773158629e+26,2.061495452907875933e+26,1.032924802487690603e+26,9.422214555962285707e+25
2.525252525252525295e-08,2.051079313110043555e+26,2.055994494159465269e+26,2.060188567641422293e+26,2.060733771795317051e+26,2.061548204871666142e+26,1.032112008385835124e+26,9.415641977648299817e+25
2.626262626262626267e-08,2.050563360545509022e+26,2.055675143898277928e+26,2.060031512105440690e+26,2.060597443353602534e+26,2.061442680266338137e+26,1.033734510463077316e+26,9.428767045253877476e+25
2.575757575757575781e-08,2.050821573758379470e+26,2.055834911592517095e+26,2.060110062648834577e+26,2.060665624774613076e+26,2.061495452908555225e+26,1.032924801156089594e+26,9.422214549592807975e+25
2.676767676767676753e-08,2.050304672349964368e+26,2.055515190799938155e+26,2.059952915977117287e+26,2.060529227509866726e+26,2.061389886934644421e+26,1.034541157200033492e+26,9.435299564702062756e+25
2.626262626262626267e-08,2.050563360618449249e+26,2.055675143916240512e+26,2.060031512107651739e+26,2.060597443355059043e+26,2.061442680267018460e+26,1.033734509145761025e+26,9.428767038933403604e+25
2.727272727272727240e-08,2.050045507827600444e+26,2.055355051966202554e+26,2.059874274223053590e+26,2.060460977216585127e+26,2.061337072901044787e+26,1.035344765988287985e+26,9.441812226202454560e+25
2.676767676767676753e-08,2.050304672423161262e+26,2.055515190817940596e+26,2.059952915979329711e+26,2.060529227511321861e+26,2.061389886935325431e+26,1.034541155896811221e+26,9.435299558430132322e+25
2.777777777777777726e-08,2.049785865702561482e+26,2.055194727083010746e+26,2.059795586804613446e+26,2.060392692448374138e+26,2.061284238153787172e+26,1.036145359868725089e+26,9.448305140794428093e+25
2.727272727272727240e-08,2.050045507901052975e+26,2.055355051984243135e+26,2.059874274225268762e+26,2.060460977218040262e+26,2.061337072901724079e+26,1.035344764698970414e+26,9.441812219978595118e+25
2.828282828282828543e-08,2.049525744694586450e+26,2.055034215835615503e+26,2.059716853683123940e+26,2.060324373179824731e+26,2.061231382681105428e+26,1.036942961636701104e+26,9.454778418669349910e+25
2.777777777777777726e-08,2.049785865776273085e+26,2.055194727101093246e+26,2.059795586806832398e+26,2.060392692449832365e+26,2.061284238154470244e+26,1.036145358593127533e+26,9.448305134618199838e+25
2.878787878787879029e-08,2.049265143518989470e+26,2.054873517908587210e+26,2.059638074819852713e+26,2.060256019385504172e+26,2.061178506471231344e+26,1.037737593845312125e+26,9.461232169178511578e+25
2.828282828282828543e-08,2.049525744768558844e+26,2.055034215853738204e+26,2.059716853685342548e+26,2.060324373181283989e+26,2.061231382681788156e+26,1.036942960374638021e+26,9.454778412540273524e+25
2.929292929292929515e-08,2.049004060886632328e+26,2.054712632985802187e+26,2.059559250176043354e+26,2.060187631039954299e+26,2.061125609512383654e+26,1.038529278808615779e+26,9.467666500841204216e+25
2.878787878787879029e-08,2.049265143593224716e+26,2.054873517926751142e+26,2.059638074822076132e+26,2.060256019386963430e+26,2.061178506471914072e+26,1.037737592596605531e+26,9.461232163096161000e+25
2.979797979797980001e-08,2.048742495503921383e+26,2.054551560750450246e+26,2.059480379712887914e+26,2.060119208117693588e+26,2.061072691792770782e+26,1.039318038604794042e+26,9.474081521352500974e+25
2.929292929292929515e-08,2.049004060961130082e+26,2.054712633004007008e+26,2.059559250178269178e+26,2.060187631041415963e+26,2.061125609513066382e+26,1.038529277573087520e+26,9.467666494805119026e+25
3.030303030303030487e-08,2.048480446072773208e+26,2.054390300885017512e+26,2.059401463391531712e+26,2.060050750593216118e+26,2.061019753300599435e+26,1.040103895079270352e+26,9.480477337591073875e+25
2.979797979797980001e-08,2.048742495578681989e+26,2.054551560768694237e+26,2.059480379715117174e+26,2.060119208119156626e+26,2.061072691793454884e+26,1.039318037382270428e+26,9.474081515362246521e+25
3.080808080808080642e-08,2.048217911290605311e+26,2.054228853071308067e+26,2.059322501173089490e+26,2.059982258440986761e+26,2.060966794024057766e+26,1.040886869847777763e+26,9.486854055626881807e+25
3.030303030303030487e-08,2.048480446147799759e+26,2.054390300903304795e+26,2.059401463393765095e+26,2.060050750594682935e+26,2.061019753301283881e+26,1.040103893869581303e+26,9.480477331646225816e+25
3.131313131313131459e-08,2.047954889850316894e+26,2.054067216990424027e+26,2.059243493018623762e+26,2.059913731635460427e+26,2.060913813951338739e+26,1.041666984299376416e+26,9.493211780728800100e+25
3.080808080808080642e-08,2.048217911365897119e+26,2.054228853089634865e+26,2.059322501175323217e+26,2.059982258442455640e+26,2.060966794024744617e+26,1.040886868650752167e+26,9.486854049727007209e+25
3.181818181818181614e-08,2.047691380440262740e+26,2.053905392322759008e+26,2.059164438889152716e+26,2.059845170151046325e+26,2.060860813070607141e+26,1.042444259599421709e+26,9.499550617372066284e+25
3.131313131313131459e-08,2.047954889925873271e+26,2.054067217008790338e+26,2.059243493020858519e+26,2.059913731636927244e+26,2.060913813952026277e+26,1.041666983114849175e+26,9.493211774873464313e+25
3.232323232323232431e-08,2.047427381744243251e+26,2.053743378748024585e+26,2.059085338745661213e+26,2.059776573962146108e+26,2.060807791370043222e+26,1.043218716692499298e+26,9.505870669245811743e+25
3.181818181818181614e-08,2.047691380516088155e+26,2.053905392341169643e+26,2.059164438891392627e+26,2.059845170152517609e+26,2.060860813071297428e+26,1.042444258427229957e+26,9.499550611560872453e+25
3.282828282828283248e-08,2.047162892441481765e+26,2.053581175945216621e+26,2.059006192549082918e+26,2.059707943043129815e+26,2.060754748837799400e+26,1.043990376305292942e+26,9.512172039260361440e+25
3.232323232323232431e-08,2.047427381820336671e+26,2.053743378766474046e+26,2.059085338747902155e+26,2.059776573963618079e+26,2.060807791370730073e+26,1.043218715532480515e+26,9.505870663478326935e+25
3.333333333333333403e-08,2.046897911206600166e+26,2.053418783592625572e+26,2.058927000260311983e+26,2.059639277368344123e+26,2.060701685462022598e+26,1.044759258949424501e+26,9.518454829554499288e+25
3.282828282828283248e-08,2.047162892517845596e+26,2.053581175963707314e+26,2.059006192551326953e+26,2.059707943044604192e+26,2.060754748838487282e+26,1.043990375157289416e+26,9.512172033536185365e+25
3.383838383838384220e-08,2.046632436709613039e+26,2.053256201367846111e+26,2.058847761840199264e+26,2.059570576912113717e+26,2.060648601230863516e+26,1.045525384924249273e+26,9.524719141502702587e+25
3.333333333333333403e-08,2.046897911283236470e+26,2.053418783611157840e+26,2.058927000262558423e+26,2.059639277369819530e+26,2.060701685462711167e+26,1.044759257813280238e+26,9.518454823873221346e+25
3.434343434343434375e-08,2.046366467615887472e+26,2.053093428947753073e+26,2.058768477249552327e+26,2.059501841648730640e+26,2.060595496132444335e+26,1.046288774319590516e+26,9.530965075722204671e+25
3.383838383838384220e-08,2.046632436786521128e+26,2.053256201386421329e+26,2.058847761842448453e+26,2.059570576913588437e+26,2.060648601231553459e+26,1.045525383799810171e+26,9.524719135863917333e+25
3.484848484848485192e-08,2.046100002586149928e+26,2.052930466008524823e+26,2.058689146449135442e+26,2.059433071552473193e+26,2.060542370154899607e+26,1.047049447018460567e+26,9.537192732080045527e+25
3.434343434343434375e-08,2.046366467693070440e+26,2.053093428966370554e+26,2.058768477251804264e+26,2.059501841650208109e+26,2.060595496133135653e+26,1.046288773206706250e+26,9.530965070125527276e+25
3.535353535353535347e-08,2.045833040276439168e+26,2.052767312225610953e+26,2.058609769399669587e+26,2.059364266597585659e+26,2.060489223286335022e+26,1.047807422699707226e+26,9.543402209700055412e+25
3.484848484848485192e-08,2.046100002663606399e+26,2.052930466027183192e+26,2.058689146451389785e+26,2.059433071553951692e+26,2.060542370155588863e+26,1.047049445916981329e+26,9.537192726525080855e+25
3.585858585858586164e-08,2.045565579338108317e+26,2.052603967273767335e+26,2.058530346061834509e+26,2.059295426758295142e+26,2.060436055514864858e+26,1.048562720840653963e+26,9.549593606969702747e+25
3.535353535353535347e-08,2.045833040354172235e+26,2.052767312244312272e+26,2.058609769401926679e+26,2.059364266599067251e+26,2.060489223287026340e+26,1.047807421609487502e+26,9.543402204186413479e+25
